"번호","k-아파트코드","k-아파트명","k-단지분류(아파트,주상복합등등)","kapt도로명주소","주소(시도)k-apt주소split","주소(시군구)","주소(읍면동)","나머지주소","주소(도로명)","주소(도로명상세주소)","k-전화번호","k-팩스번호","단지소개글clob","단지첨부파일","k-복도유형(계단식등)","k-난방방식","k-난방연료","k-단지분류","k-전체동수","k-전체세대수","k-건설사(시공사)","k-시행사","k-사용검사일-사용승인일","k-연면적","k-주거전용면적","k-관리비부과면적","k-전용면적별세대현황(60㎡이하)","k-전용면적별세대현황(60㎡~85㎡이하)","k-85㎡~135㎡이하","k-135㎡초과","k-홈페이지","k-등록일자","k-수정일자","고용보험관리번호","경비비관리형태","세대전기계약방법","청소비관리형태","건축면적","주차대수","기타/의무/임대/임의=1/2/3/4","단지승인일","사용허가일","관리비 업로드","좌표X","좌표Y","단지신청일"
"1","A15679103","우리유앤미","아파트","서울시 동작구 등용로 83","서울","동작구","대방동","우리유앤미아파트","등용로","83","028127541","028127542","","","혼합","개별난방","도시가스","아파트","2","206","우리건설","대방동지역주택조합","2003-12-26 00:00:00.0","27097","15827","20098","89.0","93.0","24.0","","","","2026-02-21 05:58:35.0","90800610361","위탁","종합계약","위탁","1773.56","223","의무","2018-04-10 15:59:42.0","Y","N","126.9596386","37.5006676","2013-03-07 09:46:59.0"
"2","A13876112","송파파인타운13단지","아파트","서울시 송파구 송파대로8길 10","서울","송파구","장지동","857","송파대로8길","10","024002658","024002668","","","혼합","지역난방","도시가스","아파트","4","197","한신공영(주)","SH공사","2011-01-27 00:00:00.0","30646","16720","22520","0.0","197.0","0.0","","","","2026-02-21 06:32:46.0","911-00-18063-1","위탁","종합계약","위탁","0.00","225","의무","2013-06-17 19:03:30.0","Y","N","127.1291789","37.4768967","2013-03-07 09:46:59.0"
"3","A13873701","오금쌍용스윗닷홈(임대)","아파트","서울시 송파구 마천로72길 20","서울","송파구","오금동","20-2","마천로72길","20","024000298","024000497","214","","임대","개별난방","도시가스","아파트","1","153","쌍용건설","쌍용건설","1997-01-24 00:00:00.0","7318","4743","4743","153.0","0.0","0.0","","","","2026-02-21 06:34:19.0","2158007586","위탁","종합계약","위탁","6892.79","60","기타","2013-11-21 16:43:07.0","Y","N","127.1287745","37.5089058","2013-03-07 09:46:59.0"
"4","A15275101","개봉현대","아파트","서울시 구로구 개봉로21길 85-6","서울","구로구","개봉동","47-1","개봉로21길","85-6","0220878606","0226878616","","","혼합","개별난방","도시가스","아파트","2","209","현대산업건설","동아건설","1994-05-09 00:00:00.0","24523","16894","24410","0.0","209.0","0.0","","","","2026-02-21 05:43:32.0","11382604260","위탁","종합계약","위탁","0.00","0","의무","2013-06-23 11:30:23.0","Y","N","126.8406749","37.5011622","2013-03-07 09:46:59.0"
"6","A13991016","월계동풍림아이원","아파트","서울시 노원구 월계로53길 21","서울","노원구","월계동","서울시 노원구 월계2동 940번지","월계로53길","21","029029567","029909567","","","혼합","개별난방","도시가스","아파트","5","205","(주)풍림건설","월계동풍림아이원아파트조합","2005-03-31 00:00:00.0","24680","14796","18578","103.0","102.0","0.0","","","","2026-02-21 04:50:01.0","91303045251","위탁","종합계약","위탁","0.00","206","의무","2015-06-19 09:59:49.0","Y","N","127.0582196","37.631732","2013-03-07 09:46:59.0"
"7","A13789201","우면코오롱KBS(113동)","아파트","서울시 서초구 바우뫼로 91","서울","서초구","우면동","160-2","바우뫼로","91","025798994","025748994","","","혼합","지역난방","도시가스","아파트","1","150","코오롱건설","코오롱건설","1996-12-31 00:00:00.0","16533","12704","16533","0.0","150.0","0.0","","","","2026-02-21 06:09:58.0","2148260850","위탁","단일계약","위탁","0.00","97","의무","2013-06-21 11:22:18.0","Y","N","127.0290739","37.4775008","2013-03-07 09:46:59.0"
"8","A13486701","천호삼성","아파트","서울시 강동구 구천면로12길 13","서울","강동구","천호동","288-5","구천면로12길","13","0262859993","0262871298","","","혼합","개별난방","도시가스","아파트","1","150","삼성건설(주)","삼성건설(주)","1997-12-03 00:00:00.0","15925","11793","15925","67.0","58.0","25.0","","없음","","2026-02-21 06:42:24.0","21280015640","자치","종합계약","자치","0.00","152","의무","2019-03-26 17:32:53.0","Y","N","127.1284727","37.5485886","2013-03-07 09:47:00.0"
"9","A14319001","자양강남아너스빌","아파트","서울시 광진구 자양로3길 55","서울","광진구","자양동","강남아너스빌","자양로3길","55","0234374442","0234374442","130","","혼합","개별난방","도시가스","아파트","1","150","경남건설","동아타운주택조합","1997-05-24 00:00:00.0","18340","10974","15270","70.0","80.0","0.0","","","","2026-02-21 04:21:04.0","90700036891","위탁","단일계약","위탁","1338.68","132","의무","2016-03-14 14:37:54.0","Y","N","127.083991","37.5294321","2013-03-07 09:47:01.0"
"10","A12208101","신사동금호아파트","아파트","서울시 은평구 증산로4길 26-5","서울","은평구","신사동","360","증산로4길","26-5","023569537","023569539","","","혼합","개별난방","도시가스","아파트","1","150","금호건설","금호건설","2000-04-11 00:00:00.0","20062","10592","15382","86.0","64.0","0.0","","","","2026-02-21 05:04:37.0","110-80-00522-0","위탁","종합계약","위탁","0.00","164","의무","2013-06-23 15:15:59.0","Y","N","126.9133122","37.6004574","2013-03-07 09:47:01.0"
"11","A15809001","신월대림아파트","아파트","서울시 양천구 신월로9길 37","서울","양천구","신월동","서울 양천구 신월4동 1017","신월로9길","37","0226900262","0226900263","","","혼합","개별난방","도시가스","아파트","3","150","대림건설","서울시도시개발공사","2003-09-24 00:00:00.0","17033","10679","17027","60.0","90.0","0.0","","","","2026-02-21 05:26:03.0","90700034491","위탁","종합계약","위탁","0.00","149","의무","2013-05-24 10:50:13.0","Y","N","126.8384999","37.5204711","2013-03-07 09:47:01.0"
"12","A13820001","문정3차푸르지오","아파트","서울시 송파구 송이로 257","서울","송파구","문정동","문정3차대우아파트","송이로","257","024044117","024043379","","","혼합","개별난방","도시가스","아파트","2","150","(주)대우건설","(주)대우","2002-08-13 00:00:00.0","16059","12744","15952","0.0","150.0","0.0","","없음","","2026-02-21 06:31:18.0","90700240051","위탁","종합계약","위탁","0.00","193","의무","2018-07-05 10:55:13.0","Y","N","127.1332779","37.4871243","2013-03-07 09:47:01.0"
"13","A13790701","잠원한신그린","아파트","서울시 서초구 반포대로33길 71","서울","서초구","잠원동","잠원한신그린아파트","반포대로33길","71","025374739","025911575","","","혼합","지역난방","도시가스","아파트","1","150","한신공영(주)","한신공영(주)","1993-01-21 00:00:00.0","17968","12734","16860","0.0","150.0","0.0","","없음","","2026-02-21 06:12:32.0","11480015230","위탁","종합계약","자치","1115.61","136","의무","2016-04-25 16:20:42.0","Y","N","127.0078749","37.5133709","2013-03-07 09:47:01.0"
"14","A13402202","천호e-편한세상","아파트","서울시 강동구 올림픽로81길 15","서울","강동구","천호동","대림연립","올림픽로81길","15","024706787","024846788","","","혼합","개별난방","도시가스","아파트","2","150","대림산업","한별,동성연립주택조합.(주)천호","2005-10-28 00:00:00.0","23895","13829","17087","0.0","98.0","52.0","","","","2026-02-21 06:42:05.0","90700029131","위탁","종합계약","위탁","1743.47","198","의무","2018-01-24 18:20:19.0","Y","N","127.1243522","37.5443727","2013-03-07 09:47:01.0"
"15","A11007001","경희궁의아침3단지","주상복합","서울시 종로구 사직로8길 34","서울","종로구","내수동","72번지","사직로8길","34","027224433","027340253","","","혼합","중앙난방","도시가스","아파트","1","150","쌍용건설","도시개발공사","2004-05-17 00:00:00.0","38392","22445","38392","0.0","0.0","30.0","","","","2026-02-21 04:00:50.0","101-80-05542-0","위탁","종합계약","위탁","0.00","315","의무","2013-06-24 11:36:59.0","Y","N","126.9720155","37.5736451","2013-03-07 09:47:01.0"
"16","A13403001","성내2차e-편한세상","아파트","서울시 강동구 풍성로37길 55","서울","강동구","성내동","137","풍성로37길","55","024866688","024866644","","","혼합","개별난방","도시가스","아파트","2","151","(주)삼호","동아연립주택재건축조합","2004-11-24 00:00:00.0","22219","13446","22218","0.0","126.0","25.0","","","","2026-02-21 06:40:44.0","21282630740","위탁","단일계약","위탁","1863.00","184","의무","2016-10-27 15:45:08.0","Y","N","127.1264298","37.53436","2013-03-07 09:47:02.0"
"17","A15609001","서초유원","아파트","서울시 관악구 남부순환로29길 195","서울","관악구","봉천동","1155번지","남부순환로29길","195","025330511","025330588","","","혼합","개별난방","도시가스","아파트","5","151","유성건설(주)","유원관악7차 재건축조합","2009-02-03 00:00:00.0","23348","11569","15207","27.0","124.0","0.0","","cafe.daum.net/sd-uneed","","2026-02-21 05:59:31.0","90900160751","위탁","단일계약","위탁","0.00","0","의무","2013-06-23 11:08:20.0","Y","N","126.9752458","37.493362","2013-03-07 09:47:02.0"
"18","A13186801","망우대우한신","아파트","서울시 중랑구 용마산로 16","서울","중랑구","망우동","796번지","용마산로","16","024948697","024958697","","","혼합","개별난방","도시가스","아파트","1","152","대우한신건설","대우한신아파트","1999-01-29 00:00:00.0","15008","11642","11642","66.0","73.0","13.0","","","","2026-02-21 04:33:09.0","907-00-28587-1","위탁","종합계약","위탁","0.00","161","의무","2013-06-23 00:00:00.0","Y","N","127.0971514","37.6060585","2013-03-07 09:47:02.0"
"19","A13407201","강일삼익그린11차","아파트","서울시 강동구 고덕로 376","서울","강동구","강일동","38번지","고덕로","376","024287062","0264261451","","","혼합","개별난방","도시가스","아파트","1","152","삼익주택","삼익주택","1986-06-30 00:00:00.0","18346","14834","18346","0.0","92.0","60.0","","","","2026-02-21 06:36:32.0","212-80-00755-0","자치","단일계약","위탁","0.00","180","의무","2013-05-07 18:52:16.0","Y","N","127.1504982","37.5518066","2013-03-07 09:47:02.0"
"20","A13980801","공릉대동1차","아파트","서울시 노원구 동일로175길 38","서울","노원구","공릉동","604-11","동일로175길","38","029794220","029794221","","","혼합","개별난방","도시가스","아파트","1","152","(주)대동","(주)대동","1999-04-30 00:00:00.0","19659","10853","14198","73.0","79.0","0.0","","","","2026-02-21 04:52:05.0","90800504051","자치","단일계약","자치","0.00","156","의무","2013-05-30 17:08:27.0","Y","N","127.072532","37.6198604","2013-03-07 09:47:02.0"
"21","A15210101","개봉동아","아파트","서울시 구로구 경인로 158","서울","구로구","개봉동","345","경인로","158","0226133606","0226133607","","","혼합","개별난방","도시가스","아파트","1","152","동아건설","동아건설","2004-04-21 00:00:00.0","16366","8849","12562","152.0","0.0","0.0","","","","2026-02-21 05:44:01.0","11382701090","위탁","종합계약","위탁","0.00","122","의무","2004-04-21 00:00:00.0","Y","N","126.8394712","37.4936836","2013-03-07 09:47:02.0"
"22","A15001001","여의도공작","아파트","서울시 영등포구 여의동로76길 11","서울","영등포구","여의도동","서울시 영등포구 여의도동11-1","여의동로76길","11","027805768","027619653","4","","혼합","지역난방","도시가스","아파트","1","153","공작","공작","1971-08-27 00:00:00.0","13657","10242","13657","0.0","153.0","0.0","","","","2026-02-21 05:49:07.0","1998-062972-560-1204","위탁","","위탁","833.00","92","의무","2013-05-07 18:52:10.0","Y","Y","126.9231927","37.5309637","2013-03-07 09:47:02.0"
"23","A15881701","목동금호어울림","아파트","서울시 양천구 목동중앙본로 15","서울","양천구","목동","목동금호어울림아파트","목동중앙본로","15","0226443194","0226443194","","","혼합","개별난방","도시가스","아파트","1","153","(주)금호산업건설","기타(지역주택조합)","2002-08-13 00:00:00.0","19081","11861","16137","34.0","119.0","0.0","","","","2026-02-21 05:24:43.0","90700237321","위탁","단일계약","위탁","1197.38","159","의무","2015-10-05 12:01:31.0","Y","N","126.8714021","37.5380526","2013-03-07 09:47:02.0"
"24","A13285601","도봉쌍문5단지","아파트","서울시 도봉구 도봉로 148","서울","도봉구","쌍문동","쌍문동아파트","도봉로","148","0234938819","0262238819","238","","혼합","개별난방","도시가스","아파트","1","153","쌍문동아건설(주)","쌍문동아건설(주)","1998-10-02 00:00:00.0","22480","11929","15762","84.0","33.0","36.0","","cafe.daum.net/sdaapt5","","2026-02-21 04:45:28.0","90700326431","위탁","단일계약","자치","0.00","196","의무","2018-02-13 11:14:23.0","Y","N","127.0285219","37.6636195","2013-03-07 09:47:02.0"
"25","A13980102","공릉신원","아파트","서울시 노원구 공릉로192길 26","서울","노원구","공릉동","370-4","공릉로192길","26","029716118","029716102","","","혼합","개별난방","도시가스","아파트","1","153","신원종합건설","신원종합건설","2000-02-14 00:00:00.0","18796","10946","14765","81.0","72.0","0.0","","","","2026-02-21 04:51:10.0","2000-0001855","위탁","단일계약","자치","0.00","154","의무","2015-10-16 16:44:11.0","Y","N","127.0751067","37.6277644","2013-03-07 09:47:02.0"
"26","A15886501","신정동일하이빌3단지","아파트","서울시 양천구 신정로 225-12","서울","양천구","신정동","1291번지 동일하이빌","신정로","225-12","0226041480","0226041482","","","혼합","개별난방","도시가스","아파트","3","153","동일건설","신정동주택조합","2002-08-23 00:00:00.0","24603","12978","16691","0.0","153.0","0.0","","","","2026-02-21 05:22:22.0","11780050380","위탁","종합계약","위탁","1555.00","211","의무","2002-08-23 00:00:00.0","Y","N","126.8472095","37.5115753","2013-03-07 09:47:02.0"
"27","A13186502","망우우남푸르미아","아파트","서울시 중랑구 봉화산로56길 51","서울","중랑구","망우동","","봉화산로56길","51","0234233200","0234233201","","","혼합","개별난방","도시가스","아파트","3","153","(주)우남건설","(주)우남건설","2005-04-04 00:00:00.0","22916","13481","16456","0.0","134.0","19.0","","","","2026-02-21 04:32:59.0","90700274071","위탁","단일계약","위탁","1401.42","186","의무","2013-06-23 14:54:55.0","Y","N","127.0987566","37.6061739","2013-03-07 09:47:03.0"
"28","A13780201","반포미도아파트","아파트","서울시 서초구 서초중앙로10길 39","서울","서초구","반포동","서초구 반포4동 46번지","서초중앙로10길","39","025911655","025911645","","","혼합","지역난방","도시가스","아파트","1","154","한보철강","반포미도재건축조합","1994-07-28 00:00:00.0","21910","13431","17664","54.0","60.0","40.0","","","","2026-02-21 06:14:10.0","11480017130","자치","종합계약","자치","1094.86","146","의무","2017-04-24 13:22:55.0","Y","N","127.0102751","37.4992014","2013-03-07 09:47:03.0"
"29","A13203001","창동금호어울림리버파크","아파트","서울시 도봉구 도봉로 566","서울","도봉구","창동","728번지","도봉로","566","029005707","029005708","","","혼합","개별난방","도시가스","아파트","4","154","금호건설","금호건설","2005-06-02 00:00:00.0","19477","12814","16560","0.0","138.0","16.0","","","","2026-02-21 04:43:14.0","90700278841","위탁","단일계약","위탁","0.00","177","의무","2013-06-17 13:35:06.0","Y","N","127.0139503","37.653846","2013-03-07 09:47:03.0"
"30","A15383601","독산동아2차","아파트","서울시 금천구 시흥대로 36","서울","금천구","독산동","1133번지","시흥대로","36","028913790","028913791","","","혼합","개별난방","도시가스","아파트","1","154","동아건설","동아","1997-10-17 00:00:00.0","17642","11178","15399","75.0","79.0","0.0","","","","2026-02-21 05:47:13.0","91611398771","위탁","종합계약","위탁","0.00","139","의무","2016-12-21 10:42:47.0","Y","N","126.8922168","37.4700234","2013-03-07 09:47:03.0"
"31","A15381402","독산동아","아파트","서울시 금천구 독산로15길 7","서울","금천구","독산동","","독산로15길","7","028084694","028084693","","","혼합","개별난방","도시가스","아파트","2","154","동아건설","동아건설","1998-09-24 00:00:00.0","19933","11034","15415","80.0","74.0","0.0","","","","2026-02-21 05:47:01.0","1998-4420680","자치","종합계약","자치","973.34","160","의무","2018-06-04 13:29:20.0","Y","N","126.8927936","37.4671531","2013-03-07 09:47:03.0"
"32","A15805101","목동넥스빌타운","아파트","서울시 양천구 목동로 224","서울","양천구","목동","","목동로","224","0226550932","0220620932","","","혼합","개별난방","도시가스","아파트","1","154","(주)동양","(주)동양","2001-09-10 00:00:00.0","26204","13648","18071","0.0","122.0","32.0","","","","2026-02-21 05:23:20.0","","위탁","단일계약","위탁","15783.30","202","의무","2016-05-30 16:26:29.0","Y","N","126.8650937","37.5285923","2013-03-07 09:47:03.0"
"33","A15288801","신도림우성5차","아파트","서울시 구로구 신도림로21길 21","서울","구로구","신도림동","638","신도림로21길","21","0226764981","0263264981","","","혼합","개별난방","도시가스","아파트","1","154","우성건설(주)","우성건설(주)","1994-12-15 00:00:00.0","16328","11152","14776","56.0","98.0","0.0","","","","2026-02-21 05:37:29.0","113-80-02456-0","위탁+자치","종합계약","위탁","0.00","136","의무","2014-12-10 13:12:17.0","Y","N","126.8837922","37.5127235","2013-03-07 09:47:04.0"
"34","A15722201","방화서광2차아파트","아파트","서울시 강서구 양천로14길 17","서울","강서구","방화동","871번지","양천로14길","17","0226626292","0226626293","","","혼합","개별난방","도시가스","아파트","2","154","서광건설(주)","서광건설(주)","2003-06-02 00:00:00.0","27065","15216","18545","0.0","58.0","96.0","","","","2026-02-21 05:35:43.0","907-00-00338-1","위탁","단일계약","위탁","0.00","229","의무","2013-05-24 10:49:51.0","Y","N","126.8106819","37.5720228","2013-03-07 09:47:04.0"
"35","A13786901","서초1차e편한세상","아파트","서울시 서초구 남부순환로323길 31","서울","서초구","서초동","1487-63","남부순환로323길","31","025831487","025841488","","","혼합","개별난방","도시가스","아파트","2","154","대림","대림","2004-08-24 00:00:00.0","37212","20102","24436","0.0","0.0","154.0","","서초1차e-편한세상.apti.co.kr","","2026-02-21 06:16:46.0","907-00-06799-1","위탁","단일계약","위탁","0.00","0","의무","2013-06-20 10:33:33.0","Y","N","127.0067349","37.4812021","2013-03-07 09:47:04.0"
"36","A15881702","목동성원","아파트","서울시 양천구 목동중앙본로 67","서울","양천구","목동","763-1 성원 목동 아파트 목동중앙본로","목동중앙본로","67","0226439306","0226439306","","","혼합","개별난방","도시가스","아파트","2","155","성원종합건설(주)","동신.영진 연립 재건축 주택 조합","2000-06-29 00:00:00.0","22553","12520","15957","64.0","59.0","32.0","","","","2026-02-21 05:24:46.0","90700315921","위탁","단일계약","위탁","0.00","176","의무","2013-06-23 10:54:15.0","Y","N","126.8699072","37.5358469","2013-03-07 09:47:04.0"
"37","A12204001","북한산삼환","아파트","서울시 은평구 불광로 170","서울","은평구","불광동","불광동삼환","불광로","170","023553203","023553206","","","혼합","개별난방","도시가스","아파트","2","155","삼환","불광제1구역주택재개발","2006-09-01 00:00:00.0","17909","10017","12900","125.0","30.0","0.0","","","","2026-02-21 05:01:29.0","20060645099","자치","종합계약","위탁","1315.10","151","의무","2019-07-29 17:16:43.0","Y","N","126.9321696","37.6216983","2013-03-07 09:47:04.0"
"38","A13295201","북한산코오롱하늘채","아파트","서울시 도봉구 도봉로114길 22-8","서울","도봉구","창동","","도봉로114길","22-8","029068523","029068524","","","혼합","개별난방","도시가스","아파트","2","155","코오롱건설","동화연립주택재건축조합","2006-12-26 00:00:00.0","23262","12256","15460","25.0","114.0","16.0","","www.bsssangmun.com","","2026-02-21 04:44:08.0","90700280321","위탁","종합계약","위탁","1792.56","169","의무","2016-11-01 20:17:20.0","Y","N","127.0295935","37.6471154","2013-03-07 09:47:04.0"
"39","A13527001","양재동우성KBS","주상복합","서울시 서초구 남부순환로356길 15","서울","서초구","양재동","12-1","남부순환로356길","15","025771127","025771128","","","혼합","개별난방","도시가스","아파트","1","155","우성건설","우성건설","2004-04-23 00:00:00.0","9783","4261","8099","155.0","0.0","0.0","","","","2026-02-21 06:26:06.0","","위탁","단일계약","위탁","0.00","125","의무","2013-06-23 14:19:28.0","Y","Y","127.0335386","37.4864782","2013-03-07 09:47:04.0"
"40","A15884901","목동대림","아파트","서울시 양천구 목동동로 77","서울","양천구","신정동","87-39","목동동로","77","0226436751","0226436752","","","혼합","개별난방","도시가스","아파트","2","156","대림건설(주)","대림산업주식회사","1990-12-29 00:00:00.0","16977","13110","16497","0.0","156.0","0.0","","","","2026-02-21 05:22:07.0","","위탁","단일계약","위탁","0.00","0","의무","2013-05-27 13:44:34.0","Y","N","126.8736268","37.5217974","2013-03-07 09:47:04.0"
"41","A13486401","천호현대","아파트","서울시 강동구 올림픽로 762","서울","강동구","천호동","천호현대아파트","올림픽로","762","024870371","0264830371","170","","혼합","개별난방","도시가스","아파트","2","156","현대건설","아남연립재건축조합","1990-05-31 00:00:00.0","13497","8976","12620","48.0","108.0","0.0","","","","2026-02-21 06:42:17.0","21282602660","위탁","종합계약","자치","502.68","100","의무","2016-06-02 08:53:22.0","Y","N","127.1329005","37.5383992","2013-03-07 09:47:04.0"
"42","A13187501","묵동해태","아파트","서울시 중랑구 봉화산로27길 32","서울","중랑구","묵동","19번지","봉화산로27길","32","024945822","024345822","","","혼합","개별난방","도시가스","아파트","1","156","해태건설","해태건설","1991-04-29 00:00:00.0","17030","13006","17030","0.0","156.0","0.0","","","","2026-02-21 04:30:21.0","907-00-08151-1","위탁","종합계약","위탁","0.00","160","의무","2019-04-25 09:37:11.0","Y","N","127.0837949","37.6036519","2013-03-07 09:46:52.0"
"43","A15185201","관악우성","아파트","서울시 관악구 남부순환로198길 7","서울","관악구","봉천동","","남부순환로198길","7","028742659","028755972","101","","혼합","개별난방","도시가스","아파트","1","156","우성종합건설(주)","유원연립재건축조합","1998-10-26 00:00:00.0","21207","11990","15618","71.0","68.0","17.0","","","","2026-02-21 06:07:47.0","119-82-61200","자치","단일계약","자치","1197.50","167","의무","2013-06-23 11:47:02.0","Y","N","126.9372705","37.4837087","2013-03-07 09:46:52.0"
"44","A11084601","평창롯데","아파트","서울시 종로구 평창문화로 140","서울","종로구","평창동","72","평창문화로","140","023790120","026320120","","","혼합","개별난방","도시가스","아파트","3","156","롯데건설","한국무역대리점협회","2001-04-30 00:00:00.0","31071","16343","21191","0.0","36.0","120.0","","","","2026-02-21 04:03:57.0","90700279361","위탁","종합계약","위탁","0.00","256","의무","2013-06-14 16:42:55.0","Y","N","126.9756922","37.6091332","2013-03-07 09:46:52.0"
"46","A13820002","문정현대1차","아파트","서울시 송파구 송이로31길 66","서울","송파구","문정동","146번지","송이로31길","66","024032521","024032523","","","혼합","개별난방","도시가스","아파트","2","157","현대건설","문정현대1차조합","2004-05-01 00:00:00.0","14743","9406","12158","157.0","0.0","0.0","","","","2026-02-21 06:31:23.0","215-80-05889-0","위탁","종합계약","위탁","0.00","126","의무","2014-12-02 11:47:54.0","Y","N","127.1370266","37.4924314","2013-03-07 09:46:52.0"
"47","A15101501","관악파크","아파트","서울시 관악구 봉천로24길 3","서울","관악구","봉천동","","봉천로24길","3","028721574","028721573","4","","혼합","개별난방","도시가스","아파트","1","157","현대건설","삼아아파트재건축조합","2003-12-31 00:00:00.0","19382","10884","13973","44.0","113.0","0.0","","","","2026-02-21 06:07:02.0","1198001722","위탁","단일계약","위탁","974.08","151","의무","2013-06-23 11:46:58.0","Y","N","126.9219256","37.4891251","2013-03-07 09:46:52.0"
"48","A13312101","서울숲두산위브","아파트","서울시 성동구 성수이로 51","서울","성동구","성수동2가","성수동 서울숲두산위브","성수이로","51","024610170","024648687","","","혼합","개별난방","도시가스","아파트","3","157","두산건설","두산건설","2006-05-30 00:00:00.0","27671","16949","16949","0.0","85.0","48.0","","dsweve.or.kr","","2026-02-21 04:18:03.0","91506921561","위탁","종합계약","위탁","21277.09","247","의무","2016-07-05 15:15:46.0","Y","N","127.0584774","37.5372327","2013-03-07 09:46:52.0"
"49","A15283801","신도림대림e-편한세상2차","주상복합","서울시 구로구 경인로 619-21","서울","구로구","신도림동","46번지 신도림대림e-편한세상2차","경인로","619-21","028382850","028382851","","","혼합","개별난방","도시가스","아파트","2","155","대림산업(주)","대림자동차공업","2006-11-30 00:00:00.0","44167","17885","19471","0.0","0.0","155.0","","","","2026-02-21 05:39:25.0","","위탁","단일계약","위탁","0.00","258","의무","2015-01-02 09:59:06.0","Y","N","126.8912982","37.5009591","2013-03-07 09:46:53.0"
"50","A15007101","대림현대3차","아파트","서울시 영등포구 대림로22길 29","서울","영등포구","대림동","대림현대3차아파트","대림로22길","29","028350494","028350495","","","혼합","개별난방","도시가스","아파트","2","157","현대건설(주)","화성연립주택재건축조합","2005-10-17 00:00:00.0","21239","13326","16169","0.0","157.0","0.0","","","","2026-02-21 05:55:36.0","90700037711","위탁","종합계약","위탁","1540.43","181","의무","2018-03-17 11:34:33.0","Y","N","126.9036771","37.4956182","2013-03-07 09:46:53.0"
